이름,분류,위도,경도,평점,지역,가는 법,설명,구글지도
"빛의 돔(光之穹頂) — 메이리다오역","명소",22.6313652,120.3019167,"★ 4.4 · 4,621","메이리다오","MRT 미려도역 구내","세계 최대 유리 공공미술 빛의 돔(光之穹頂). 역 안이라 5분이면 봄","https://www.google.com/maps/search/?api=1&query=22.6313652,120.3019167"
"가오슝시립역사박물관","명소",22.6269501,120.2867994,"★ 4.4 · 4,579","옌청푸","MRT 옌청푸역 도보 5분","일제강점기 시청 건물. 무료이고 건물 자체가 사진이 잘 나옵니다","https://www.google.com/maps/search/?api=1&query=22.6269501,120.2867994"
"시쯔완 일몰","명소",22.6176929,120.2659149,"★ 4.4 · 1,800","시쯔완","MRT 하마싱역(Hamasen) + 셔틀","가오슝 최고의 일몰. 10월 말 일몰은 17:20 전후라 시간을 앞당겨야 함","https://www.google.com/maps/search/?api=1&query=22.6176929,120.2659149"
"아이허 사랑의 강(愛河) — Love River","명소",22.6529037,120.3054076,"★ 4.4 · 1,422","첸진","핀은 구글이 잡은 강 지점입니다 — 야경 산책은 보얼예술특구~대중음악센터 하류 구간","한국 일정 여섯 개 중 셋에 나옵니다. 해 지고 강변을 걷는 게 전부인 곳이라 저녁 동선에 끼워 넣기 좋습니다. 유람선도 있습니다","https://www.google.com/maps/search/?api=1&query=22.6529037,120.3054076"
"롄츠탄 용호탑(蓮池潭 龍虎塔)","명소",22.680507,120.292376,"★ 4.3 · 20,738","쭤잉","MRT 생태공원역 2번 출구 + 유바이크","가오슝 대표 사진 스팟. 용 입으로 들어가 호랑이 입으로 나오는 게 순서. 춘추각까지 묶어서","https://www.google.com/maps/search/?api=1&query=22.680507,120.292376"
"치진 해수욕장","명소",22.6101746,120.2669211,"★ 4.3 · 7,401","치진","구산 페리 7분","자전거로 해안도로 한 바퀴가 정석. 무지개 교회·해산물 거리·등대","https://www.google.com/maps/search/?api=1&query=22.6101746,120.2669211"
"치진 별빛 터널(星空隧道)","명소",22.6126605,120.2645727,"★ 4.3 · 4,986","치진","치진 옛거리 서쪽 끝","야광 벽화가 있는 짧은 해안 터널. 자전거로 지나가기 좋습니다","https://www.google.com/maps/search/?api=1&query=22.6126605,120.2645727"
"춘추각(春秋閣)","명소",22.6822687,120.2927297,"★ 4.3 · 4,891","쭤잉","롄츠탄 용호탑에서 도보 10분","용을 타고 있는 관음상. 용호탑과 한 세트로 봅니다","https://www.google.com/maps/search/?api=1&query=22.6822687,120.2927297"
"치진 옛거리(旗津老街)","명소",22.6133492,120.2686345,"★ 4.2 · 27,661","치진","페리에서 내리면 바로","해산물집과 간식 노점이 이어지는 거리. 치진 일정의 중심입니다","https://www.google.com/maps/search/?api=1&query=22.6133492,120.2686345"
"치진 풍차공원","명소",22.5883126,120.2843378,"★ 4.2 · 10,350","치진","치진 옛거리에서 자전거 15분","바다 옆 풍력발전기와 잔디밭. 치진 자전거 코스의 종점","https://www.google.com/maps/search/?api=1&query=22.5883126,120.2843378"
"다카오 철도이야기관","명소",22.6216869,120.2755422,"★ 4.2 · 3,340","하마싱","경전철 하마싱역 앞","옛 기차역과 넓은 잔디밭. 보얼예술특구와 이어져 있어 걸어서 넘어갑니다","https://www.google.com/maps/search/?api=1&query=22.6216869,120.2755422"
"85빌딩 전망대","명소",22.6116938,120.3001305,"★ 4.1 · 13,282","첸전","MRT 산둬상권역 도보 10분","74층 전망대. 야경은 소우산 전망대가 낫지만, 비 오는 날엔 여기가 답입니다","https://www.google.com/maps/search/?api=1&query=22.6116938,120.3001305"
"치진 무지개 교회(彩虹教堂)","명소",22.6023263,120.2734327,"★ 4.1 · 8,158","치진","치진 해변 남쪽 · 자전거 10분","바다를 배경으로 한 포토존. 평점은 4.1로 높지 않지만 사진은 확실히 남습니다","https://www.google.com/maps/search/?api=1&query=22.6023263,120.2734327"
"중앙공원","명소",22.62486,120.301067,"★★","중앙공원","MRT 중앙공원역 직결","도심 속 열대 공원. 저녁 산책 코스","https://www.google.com/maps/search/?api=1&query=22.62486,120.301067"
"다거우 영국영사관(打狗英國領事館)","명소",22.618284,120.267214,"★★","시쯔완","시쯔완 언덕","옛 영국 영사관에서 항구를 내려다봄. 일몰과 묶어서 보는 코스","https://www.google.com/maps/search/?api=1&query=22.618284,120.267214"
"구산 페리 선착장","명소",22.619895,120.270012,"★★","구산","MRT 시쯔완역 도보 8분","치진 가는 페리. 자전거를 들고 탈 수 있음","https://www.google.com/maps/search/?api=1&query=22.619895,120.270012"
"웨이우잉 예술문화센터(衛武營)","명소",22.622919,120.342398,"★★","펑산","MRT 웨이우잉역","거대한 곡면 건축. 실내라 날씨와 무관하고 사진이 잘 나옴","https://www.google.com/maps/search/?api=1&query=22.622919,120.342398"
"청칭호","명소",22.660663,120.351092,"★","냐오쑹","MRT 웨이우잉역 + 버스","호수 공원. 한적하게 걷기 좋지만 접근이 번거로움","https://www.google.com/maps/search/?api=1&query=22.660663,120.351092"
"다둥 문화예술센터","명소",22.624405,120.363577,"★","펑산","MRT 다둥역 도보 3분","우산 모양 막 구조물. 사진 명소지만 시내에서 다소 떨어짐","https://www.google.com/maps/search/?api=1&query=22.624405,120.363577"
