이름,분류,위도,경도,평점,지역,설명,구글지도
"호텔 인디고 중앙공원(英迪格酒店)","숙소",22.62436,120.30141,"부킹 8.9 · 708","신싱","1실 177.5만 / 2실 216.9만. 중앙공원역 도보 2분. 위치로는 스물여섯 곳 중 최상급입니다","https://www.google.com/maps/search/?api=1&query=22.62436,120.30141"
"로열그룹 모텔 펑산점(皇家 鳳山館)","숙소",22.6134,120.3545,"부킹 8.9 · 1,055","펑산","1·2실 58.9만 · 조식 포함. 대만식 자동차 여관(汽車旅館)이라 방이 아주 넓습니다. 대신 도심에서 멉니다","https://www.google.com/maps/search/?api=1&query=22.6134,120.3545"
"파포아 호텔(播寶舍旅)","숙소",22.64072,120.30169,"부킹 8.8 · 2,003","싼민","2실 107.9만. 가오슝역 도보권 부티크. 4인 1실은 없고 2실 조합만 됩니다","https://www.google.com/maps/search/?api=1&query=22.64072,120.30169"
"에어라인 인 가오슝역점(華園 車站館)","숙소",22.63767,120.30132,"부킹 8.8 · 2,433","싼민","1·2실 81.1만 · 조식 포함. 가오슝역 도보권. 디럭스 패밀리룸이 4인 1실입니다","https://www.google.com/maps/search/?api=1&query=22.63767,120.30132"
"허브 호텔 야완점(好地方大飯店)","숙소",22.61268,120.30212,"부킹 8.8 · 1,746","링야","1실 49.1만 · 조식 포함. 산둬상권 바로 옆인데 값은 스물여섯 곳 중 세 번째로 쌉니다","https://www.google.com/maps/search/?api=1&query=22.61268,120.30212"
"난난 즈위(南南之寓)","숙소",22.63263,120.30316,"부킹 8.8 · 508","신싱","1·2실 220.7만. 침실 3개·욕실 2개짜리 119㎡ 복층 한 채를 통째로 씁니다. 넷이 가장 편한 구조","https://www.google.com/maps/search/?api=1&query=22.63263,120.30316"
"호텔 코지 중산관(和逸飯店 中山館)","숙소",22.613303,120.305113,"부킹 8.7 · 1,704","산둬","1·2실 87.9만 · 조식 포함(창문 있는 방 93.2만). 구글 평점은 4.8에 후기 1만 4천 건으로 가오슝 1위입니다","https://www.google.com/maps/search/?api=1&query=22.613303,120.305113"
"CU 호텔 가오슝역점(希有巢旅)","숙소",22.6406,120.30169,"부킹 8.7 · 2,275","싼민","1·2실 63.2만. 가오슝역 도보권. 쿼드러플룸이 60만원대입니다","https://www.google.com/maps/search/?api=1&query=22.6406,120.30169"
"더 하워드 플라자(福華大飯店)","숙소",22.63401,120.3083,"부킹 8.7 · 1,280","신싱","2실 408.9만 · 조식 포함. 오래된 5성. 스위트만 남아 값이 크게 뜁니다","https://www.google.com/maps/search/?api=1&query=22.63401,120.3083"
"진스후 호텔(金獅湖大酒店)","숙소",22.66322,120.32774,"부킹 8.7 · 1,570","싼민","1·2실 60.6만 · 조식 포함. 진스후 호수 옆. 값은 싸지만 MRT 에서 멀어 택시를 써야 합니다","https://www.google.com/maps/search/?api=1&query=22.66322,120.32774"
"EZ STAY 옌청(自由宿 鹽埕館)","숙소",22.62152,120.28425,"부킹 8.7 · 450","옌청","1실 63.4만 / 2실 93.5만. 보얼예술특구·노포 골목 한가운데. 후기 수가 적은 편입니다","https://www.google.com/maps/search/?api=1&query=22.62152,120.28425"
"파인 호텔 산둬점(三多好地方大飯店)","숙소",22.61189,120.30233,"부킹 8.6 · 2,012","링야","1실 36.1만 / 2실 56.8만. 스물여섯 곳 중 가장 쌉니다. 산둬상권 도보권이고 후기도 2,012건입니다","https://www.google.com/maps/search/?api=1&query=22.61189,120.30233"
"시티스위트 체나이(城市商旅 真愛館)","숙소",22.6191,120.28506,"부킹 8.5 · 3,497","옌청","1실 87.7~98.6만 / 2실 129.3만. 애하 강변. 쿼드러플룸이 항구 전망까지 골라집니다","https://www.google.com/maps/search/?api=1&query=22.6191,120.28506"
"H2O 호텔(水京棧國際酒店)","숙소",22.66272,120.30205,"구글 ★ 4.5 · 5,683","아레나","10/29~11/1 부킹닷컴 전 객실 매진(09-06 재확인). 물 테마 디자인 호텔","https://www.google.com/maps/search/?api=1&query=22.66272,120.30205"
"그랜드 하이라이(漢來大飯店)","숙소",22.61952,120.29664,"구글 ★ 4.4 · 9,330","산둬","10/29~11/1 부킹닷컴 전 객실 매진(09-06 재확인). 한라이 백화점과 붙어 있는 노포 5성","https://www.google.com/maps/search/?api=1&query=22.61952,120.29664"
"하버 10 호텔(鈞怡大飯店)","숙소",22.62198,120.29107,"구글 ★ 4.3 · 5,216","옌청","10/29~11/1 부킹닷컴 전 객실 매진(09-06 재확인). 애하 강변. 러브피어 도보권","https://www.google.com/maps/search/?api=1&query=22.62198,120.29107"
